############初赛数据复赛数据全量pretrain,bert(lr:5e-5, epoch:100, 对偶)###################################
{'loss': 3.9068, 'learning_rate': 4.9750035551763366e-05, 'epoch': 1.0}
{'loss': 3.8994, 'learning_rate': 4.9500071103526736e-05, 'epoch': 1.0}
{'loss': 2.6288, 'learning_rate': 4.900014220705347e-05, 'epoch': 2.0}
{'loss': 2.2728, 'learning_rate': 4.8500213310580204e-05, 'epoch': 3.0}
{'loss': 2.0611, 'learning_rate': 4.8000284414106945e-05, 'epoch': 4.0}
{'loss': 1.9184, 'learning_rate': 4.750035551763368e-05, 'epoch': 5.0}
{'loss': 1.8041, 'learning_rate': 4.7000426621160407e-05, 'epoch': 6.0}
{'loss': 1.7159, 'learning_rate': 4.650049772468715e-05, 'epoch': 7.0}
{'loss': 1.6416, 'learning_rate': 4.600056882821388e-05, 'epoch': 8.0}
{'loss': 1.5743, 'learning_rate': 4.5500639931740615e-05, 'epoch': 9.0}
{'loss': 1.5198, 'learning_rate': 4.500071103526735e-05, 'epoch': 10.0}
{'loss': 1.4715, 'learning_rate': 4.4500782138794083e-05, 'epoch': 11.0}
{'loss': 1.4249, 'learning_rate': 4.4000853242320824e-05, 'epoch': 12.0}
{'loss': 1.3885, 'learning_rate': 4.350092434584755e-05, 'epoch': 13.0}
{'loss': 1.3453, 'learning_rate': 4.300099544937429e-05, 'epoch': 14.0}
{'loss': 1.3132, 'learning_rate': 4.2501066552901026e-05, 'epoch': 15.0}
{'loss': 1.2783, 'learning_rate': 4.200113765642776e-05, 'epoch': 16.0}
{'loss': 1.2512, 'learning_rate': 4.1501208759954494e-05, 'epoch': 17.0}
{'loss': 1.2175, 'learning_rate': 4.100127986348123e-05, 'epoch': 18.0}
{'loss': 1.1947, 'learning_rate': 4.050135096700797e-05, 'epoch': 19.0}
{'loss': 1.168, 'learning_rate': 4.0001422070534697e-05, 'epoch': 20.0}
{'loss': 1.145, 'learning_rate': 3.950149317406144e-05, 'epoch': 21.0}
{'loss': 1.121, 'learning_rate': 3.900156427758817e-05, 'epoch': 22.0}
{'loss': 1.0985, 'learning_rate': 3.8501635381114905e-05, 'epoch': 23.0}
{'loss': 1.077, 'learning_rate': 3.800170648464164e-05, 'epoch': 24.0}
{'loss': 1.0599, 'learning_rate': 3.7501777588168373e-05, 'epoch': 25.0}
{'loss': 1.0395, 'learning_rate': 3.7001848691695114e-05, 'epoch': 26.0}
{'loss': 1.0216, 'learning_rate': 3.650191979522185e-05, 'epoch': 27.0}
{'loss': 1.0018, 'learning_rate': 3.6001990898748576e-05, 'epoch': 28.0}
{'loss': 0.9855, 'learning_rate': 3.5502062002275316e-05, 'epoch': 29.0}
{'loss': 0.9684, 'learning_rate': 3.500213310580205e-05, 'epoch': 30.0}
{'loss': 0.9532, 'learning_rate': 3.4502204209328784e-05, 'epoch': 31.0}
{'loss': 0.9385, 'learning_rate': 3.400227531285552e-05, 'epoch': 32.0}
{'loss': 0.9228, 'learning_rate': 3.350234641638225e-05, 'epoch': 33.0}
{'loss': 0.9094, 'learning_rate': 3.300241751990899e-05, 'epoch': 34.0}
{'loss': 0.8942, 'learning_rate': 3.250248862343572e-05, 'epoch': 35.0}
{'loss': 0.8806, 'learning_rate': 3.200255972696246e-05, 'epoch': 35.99}
{'loss': 0.8681, 'learning_rate': 3.1502630830489195e-05, 'epoch': 36.99}
{'loss': 0.8538, 'learning_rate': 3.100270193401593e-05, 'epoch': 37.99}
{'loss': 0.8415, 'learning_rate': 3.0502773037542663e-05, 'epoch': 38.99}
{'loss': 0.8297, 'learning_rate': 3.0002844141069397e-05, 'epoch': 39.99}
{'loss': 0.8169, 'learning_rate': 2.9502915244596135e-05, 'epoch': 40.99}
{'loss': 0.804, 'learning_rate': 2.900298634812287e-05, 'epoch': 41.99}
{'loss': 0.7932, 'learning_rate': 2.85030574516496e-05, 'epoch': 42.99}
{'loss': 0.7817, 'learning_rate': 2.800312855517634e-05, 'epoch': 43.99}
{'loss': 0.7707, 'learning_rate': 2.750319965870307e-05, 'epoch': 44.99}
{'loss': 0.7609, 'learning_rate': 2.700327076222981e-05, 'epoch': 45.99}
{'loss': 0.7506, 'learning_rate': 2.6503341865756542e-05, 'epoch': 46.99}
{'loss': 0.7404, 'learning_rate': 2.6003412969283276e-05, 'epoch': 47.99}
{'loss': 0.732, 'learning_rate': 2.5503484072810014e-05, 'epoch': 48.99}
{'loss': 0.7192, 'learning_rate': 2.5003555176336745e-05, 'epoch': 49.99}
{'loss': 0.7107, 'learning_rate': 2.4503626279863482e-05, 'epoch': 50.99}
{'loss': 0.702, 'learning_rate': 2.4003697383390216e-05, 'epoch': 51.99}
{'loss': 0.6912, 'learning_rate': 2.3503768486916953e-05, 'epoch': 52.99}
{'loss': 0.6818, 'learning_rate': 2.3003839590443687e-05, 'epoch': 53.99}
{'loss': 0.6743, 'learning_rate': 2.250391069397042e-05, 'epoch': 54.99}
{'loss': 0.6647, 'learning_rate': 2.2003981797497155e-05, 'epoch': 55.99}
{'loss': 0.6583, 'learning_rate': 2.150405290102389e-05, 'epoch': 56.99}
{'loss': 0.6477, 'learning_rate': 2.1004124004550627e-05, 'epoch': 57.99}
{'loss': 0.6403, 'learning_rate': 2.050419510807736e-05, 'epoch': 58.99}
{'loss': 0.6312, 'learning_rate': 2.00042662116041e-05, 'epoch': 59.99}
{'loss': 0.6238, 'learning_rate': 1.950433731513083e-05, 'epoch': 60.99}
{'loss': 0.6172, 'learning_rate': 1.9004408418657566e-05, 'epoch': 61.99}
{'loss': 0.6072, 'learning_rate': 1.85044795221843e-05, 'epoch': 62.99}
{'loss': 0.5998, 'learning_rate': 1.8004550625711038e-05, 'epoch': 63.99}
{'loss': 0.5934, 'learning_rate': 1.7504621729237772e-05, 'epoch': 64.99}
{'loss': 0.5841, 'learning_rate': 1.7004692832764506e-05, 'epoch': 65.99}
{'loss': 0.5775, 'learning_rate': 1.650476393629124e-05, 'epoch': 66.99}
{'loss': 0.5727, 'learning_rate': 1.6004835039817974e-05, 'epoch': 67.99}
{'loss': 0.5643, 'learning_rate': 1.550490614334471e-05, 'epoch': 68.99}
{'loss': 0.5583, 'learning_rate': 1.5004977246871445e-05, 'epoch': 69.99}
{'loss': 0.5528, 'learning_rate': 1.4505048350398181e-05, 'epoch': 70.99}
{'loss': 0.5434, 'learning_rate': 1.4005119453924914e-05, 'epoch': 71.99}
{'loss': 0.5386, 'learning_rate': 1.350519055745165e-05, 'epoch': 72.99}
{'loss': 0.5336, 'learning_rate': 1.3005261660978385e-05, 'epoch': 73.99}
{'loss': 0.5285, 'learning_rate': 1.250533276450512e-05, 'epoch': 74.99}
{'loss': 0.5206, 'learning_rate': 1.2005403868031855e-05, 'epoch': 75.99}
{'loss': 0.5151, 'learning_rate': 1.150547497155859e-05, 'epoch': 76.99}
{'loss': 0.5107, 'learning_rate': 1.1005546075085326e-05, 'epoch': 77.99}
{'loss': 0.5044, 'learning_rate': 1.050561717861206e-05, 'epoch': 78.99}
{'loss': 0.5001, 'learning_rate': 1.0005688282138794e-05, 'epoch': 79.99}
{'loss': 0.4927, 'learning_rate': 9.505759385665528e-06, 'epoch': 80.99}
{'loss': 0.4885, 'learning_rate': 9.005830489192264e-06, 'epoch': 81.99}
{'loss': 0.4826, 'learning_rate': 8.505901592719e-06, 'epoch': 82.99}
{'loss': 0.4801, 'learning_rate': 8.005972696245734e-06, 'epoch': 83.99}
{'loss': 0.4725, 'learning_rate': 7.5060437997724694e-06, 'epoch': 84.99}
{'loss': 0.469, 'learning_rate': 7.006114903299204e-06, 'epoch': 85.99}
{'loss': 0.4645, 'learning_rate': 6.506186006825938e-06, 'epoch': 86.99}
{'loss': 0.4615, 'learning_rate': 6.006257110352674e-06, 'epoch': 87.99}
{'loss': 0.4557, 'learning_rate': 5.506328213879409e-06, 'epoch': 88.99}
{'loss': 0.4518, 'learning_rate': 5.006399317406144e-06, 'epoch': 89.99}
{'loss': 0.4503, 'learning_rate': 4.506470420932878e-06, 'epoch': 90.99}
{'loss': 0.4455, 'learning_rate': 4.006541524459614e-06, 'epoch': 91.99}
{'loss': 0.4435, 'learning_rate': 3.5066126279863485e-06, 'epoch': 92.99}
{'loss': 0.439, 'learning_rate': 3.0066837315130833e-06, 'epoch': 93.99}
{'loss': 0.4356, 'learning_rate': 2.506754835039818e-06, 'epoch': 94.99}
{'loss': 0.4335, 'learning_rate': 2.006825938566553e-06, 'epoch': 95.99}
{'loss': 0.4301, 'learning_rate': 1.506897042093288e-06, 'epoch': 96.99}
{'loss': 0.4281, 'learning_rate': 1.0069681456200228e-06, 'epoch': 97.99}
{'loss': 0.4281, 'learning_rate': 5.070392491467577e-07, 'epoch': 98.99}
{'loss': 0.4248, 'learning_rate': 7.110352673492606e-09, 'epoch': 99.99}
