{'loss': 3.2306, 'learning_rate': 4.9500071103526736e-05, 'epoch': 1.0}
{'loss': 2.2388, 'learning_rate': 4.900014220705347e-05, 'epoch': 2.0}
{'loss': 1.9715, 'learning_rate': 4.8500213310580204e-05, 'epoch': 3.0}
{'loss': 1.8129, 'learning_rate': 4.8000284414106945e-05, 'epoch': 4.0}
{'loss': 1.7056, 'learning_rate': 4.750035551763368e-05, 'epoch': 5.0}
{'loss': 1.6171, 'learning_rate': 4.7000426621160407e-05, 'epoch': 6.0}
{'loss': 1.5492, 'learning_rate': 4.650049772468715e-05, 'epoch': 7.0}
{'loss': 1.4911, 'learning_rate': 4.600056882821388e-05, 'epoch': 8.0}
{'loss': 1.4415, 'learning_rate': 4.5500639931740615e-05, 'epoch': 9.0}
{'loss': 1.3982, 'learning_rate': 4.500071103526735e-05, 'epoch': 10.0}
{'loss': 1.3564, 'learning_rate': 4.4500782138794083e-05, 'epoch': 11.0}
{'loss': 1.3234, 'learning_rate': 4.4000853242320824e-05, 'epoch': 12.0}
{'loss': 1.2922, 'learning_rate': 4.350092434584755e-05, 'epoch': 13.0}
{'loss': 1.2598, 'learning_rate': 4.300099544937429e-05, 'epoch': 14.0}
{'loss': 1.234, 'learning_rate': 4.2501066552901026e-05, 'epoch': 15.0}
{'loss': 1.2087, 'learning_rate': 4.200113765642776e-05, 'epoch': 16.0}
{'loss': 1.1825, 'learning_rate': 4.1501208759954494e-05, 'epoch': 17.0}
{'loss': 1.1601, 'learning_rate': 4.100127986348123e-05, 'epoch': 18.0}
{'loss': 1.139, 'learning_rate': 4.050135096700797e-05, 'epoch': 19.0}
{'loss': 1.1169, 'learning_rate': 4.0001422070534697e-05, 'epoch': 20.0}
{'loss': 1.0974, 'learning_rate': 3.950149317406144e-05, 'epoch': 21.0}
{'loss': 1.0761, 'learning_rate': 3.900156427758817e-05, 'epoch': 22.0}
{'loss': 1.0601, 'learning_rate': 3.8501635381114905e-05, 'epoch': 23.0}
{'loss': 1.0429, 'learning_rate': 3.800170648464164e-05, 'epoch': 24.0}
{'loss': 1.0258, 'learning_rate': 3.7501777588168373e-05, 'epoch': 25.0}
{'loss': 1.0114, 'learning_rate': 3.7001848691695114e-05, 'epoch': 26.0}
{'loss': 0.9954, 'learning_rate': 3.650191979522185e-05, 'epoch': 27.0}
{'loss': 0.9817, 'learning_rate': 3.6001990898748576e-05, 'epoch': 28.0}
{'loss': 0.9657, 'learning_rate': 3.5502062002275316e-05, 'epoch': 29.0}
{'loss': 0.952, 'learning_rate': 3.500213310580205e-05, 'epoch': 30.0}
{'loss': 0.9394, 'learning_rate': 3.4502204209328784e-05, 'epoch': 31.0}
{'loss': 0.9254, 'learning_rate': 3.400227531285552e-05, 'epoch': 32.0}
{'loss': 0.9113, 'learning_rate': 3.350234641638225e-05, 'epoch': 33.0}
{'loss': 0.8991, 'learning_rate': 3.300241751990899e-05, 'epoch': 34.0}
{'loss': 0.889, 'learning_rate': 3.250248862343572e-05, 'epoch': 35.0}
{'loss': 0.875, 'learning_rate': 3.200255972696246e-05, 'epoch': 35.99}
{'loss': 0.8642, 'learning_rate': 3.1502630830489195e-05, 'epoch': 36.99}
{'loss': 0.8544, 'learning_rate': 3.100270193401593e-05, 'epoch': 37.99}
{'loss': 0.84, 'learning_rate': 3.0502773037542663e-05, 'epoch': 38.99}
{'loss': 0.8314, 'learning_rate': 3.0002844141069397e-05, 'epoch': 39.99}
{'loss': 0.8177, 'learning_rate': 2.9502915244596135e-05, 'epoch': 40.99}
{'loss': 0.8095, 'learning_rate': 2.900298634812287e-05, 'epoch': 41.99}
{'loss': 0.7994, 'learning_rate': 2.85030574516496e-05, 'epoch': 42.99}
{'loss': 0.7918, 'learning_rate': 2.800312855517634e-05, 'epoch': 43.99}
{'loss': 0.7808, 'learning_rate': 2.750319965870307e-05, 'epoch': 44.99}
{'loss': 0.7678, 'learning_rate': 2.700327076222981e-05, 'epoch': 45.99}
{'loss': 0.7607, 'learning_rate': 2.6503341865756542e-05, 'epoch': 46.99}
{'loss': 0.7512, 'learning_rate': 2.6003412969283276e-05, 'epoch': 47.99}
{'loss': 0.7434, 'learning_rate': 2.5503484072810014e-05, 'epoch': 48.99}
{'loss': 0.7319, 'learning_rate': 2.5003555176336745e-05, 'epoch': 49.99}
{'loss': 0.7244, 'learning_rate': 2.4503626279863482e-05, 'epoch': 50.99}
{'loss': 0.7161, 'learning_rate': 2.4003697383390216e-05, 'epoch': 51.99}
{'loss': 0.7077, 'learning_rate': 2.3503768486916953e-05, 'epoch': 52.99}
{'loss': 0.7024, 'learning_rate': 2.3003839590443687e-05, 'epoch': 53.99}
{'loss': 0.6933, 'learning_rate': 2.250391069397042e-05, 'epoch': 54.99}
{'loss': 0.6845, 'learning_rate': 2.2003981797497155e-05, 'epoch': 55.99}
{'loss': 0.6763, 'learning_rate': 2.150405290102389e-05, 'epoch': 56.99}
{'loss': 0.6715, 'learning_rate': 2.1004124004550627e-05, 'epoch': 57.99}
{'loss': 0.6634, 'learning_rate': 2.050419510807736e-05, 'epoch': 58.99}
{'loss': 0.6539, 'learning_rate': 2.00042662116041e-05, 'epoch': 59.99}
{'loss': 0.6492, 'learning_rate': 1.950433731513083e-05, 'epoch': 60.99}
{'loss': 0.6407, 'learning_rate': 1.9004408418657566e-05, 'epoch': 61.99}
{'loss': 0.6333, 'learning_rate': 1.85044795221843e-05, 'epoch': 62.99}
{'loss': 0.6287, 'learning_rate': 1.8004550625711038e-05, 'epoch': 63.99}
{'loss': 0.6207, 'learning_rate': 1.7504621729237772e-05, 'epoch': 64.99}
{'loss': 0.6142, 'learning_rate': 1.7004692832764506e-05, 'epoch': 65.99}
{'loss': 0.6073, 'learning_rate': 1.650476393629124e-05, 'epoch': 66.99}
{'loss': 0.6008, 'learning_rate': 1.6004835039817974e-05, 'epoch': 67.99}
{'loss': 0.5956, 'learning_rate': 1.550490614334471e-05, 'epoch': 68.99}
{'loss': 0.5885, 'learning_rate': 1.5004977246871445e-05, 'epoch': 69.99}
{'loss': 0.5845, 'learning_rate': 1.4505048350398181e-05, 'epoch': 70.99}
{'loss': 0.5776, 'learning_rate': 1.4005119453924914e-05, 'epoch': 71.99}
{'loss': 0.5731, 'learning_rate': 1.350519055745165e-05, 'epoch': 72.99}
{'loss': 0.5664, 'learning_rate': 1.3005261660978385e-05, 'epoch': 73.99}
{'loss': 0.5599, 'learning_rate': 1.250533276450512e-05, 'epoch': 74.99}
{'loss': 0.5553, 'learning_rate': 1.2005403868031855e-05, 'epoch': 75.99}
{'loss': 0.5497, 'learning_rate': 1.150547497155859e-05, 'epoch': 76.99}
{'loss': 0.5449, 'learning_rate': 1.1005546075085326e-05, 'epoch': 77.99}
{'loss': 0.5389, 'learning_rate': 1.050561717861206e-05, 'epoch': 78.99}
{'loss': 0.5347, 'learning_rate': 1.0005688282138794e-05, 'epoch': 79.99}
{'loss': 0.5308, 'learning_rate': 9.505759385665528e-06, 'epoch': 80.99}
{'loss': 0.5238, 'learning_rate': 9.005830489192264e-06, 'epoch': 81.99}
{'loss': 0.5197, 'learning_rate': 8.505901592719e-06, 'epoch': 82.99}
{'loss': 0.5162, 'learning_rate': 8.005972696245734e-06, 'epoch': 83.99}
{'loss': 0.5129, 'learning_rate': 7.5060437997724694e-06, 'epoch': 84.99}
{'loss': 0.5078, 'learning_rate': 7.006114903299204e-06, 'epoch': 85.99}
{'loss': 0.5039, 'learning_rate': 6.506186006825938e-06, 'epoch': 86.99}
{'loss': 0.4992, 'learning_rate': 6.006257110352674e-06, 'epoch': 87.99}
{'loss': 0.4961, 'learning_rate': 5.506328213879409e-06, 'epoch': 88.99}
{'loss': 0.4917, 'learning_rate': 5.006399317406144e-06, 'epoch': 89.99}
{'loss': 0.4887, 'learning_rate': 4.506470420932878e-06, 'epoch': 90.99}
{'loss': 0.4862, 'learning_rate': 4.006541524459614e-06, 'epoch': 91.99}
{'loss': 0.4797, 'learning_rate': 3.5066126279863485e-06, 'epoch': 92.99}
{'loss': 0.481, 'learning_rate': 3.0066837315130833e-06, 'epoch': 93.99}
{'loss': 0.4772, 'learning_rate': 2.506754835039818e-06, 'epoch': 94.99}
{'loss': 0.4734, 'learning_rate': 2.006825938566553e-06, 'epoch': 95.99}
{'loss': 0.4745, 'learning_rate': 1.506897042093288e-06, 'epoch': 96.99}
{'loss': 0.4701, 'learning_rate': 1.0069681456200228e-06, 'epoch': 97.99}
{'loss': 0.4705, 'learning_rate': 5.070392491467577e-07, 'epoch': 98.99}
{'loss': 0.466, 'learning_rate': 7.110352673492606e-09, 'epoch': 99.99}
{'train_runtime': 148117.1519, 'train_samples_per_second': 4.748, 'total_flos': 1.6739255376092314e+18, 'epoch': 100.0}


#########加载nezha-base并且resize#############
{'loss': 3.8172, 'learning_rate': 4.9500142207053476e-05, 'epoch': 1.0}
{'loss': 2.6343, 'learning_rate': 4.900028441410694e-05, 'epoch': 2.0}
{'loss': 2.3085, 'learning_rate': 4.850042662116041e-05, 'epoch': 3.0}
{'loss': 2.1329, 'learning_rate': 4.800056882821388e-05, 'epoch': 4.0}
{'loss': 2.0056, 'learning_rate': 4.7500711035267356e-05, 'epoch': 5.0}
